/home/xxwu/LLMGraphBench/LLMPredictor/../common/dataloader.py:6: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
[1305, 'Agents', 'Agents']
[1306, 'AI', 'AI (Artificial Intelligence)']
[1307, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1308, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1309, 'AI (Artificial Intelligence)', 'Agents']
[1310, 'AI', 'Agents']
[1311, 'DB', 'DB (Databases)']
[1314, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1316, 'DB', 'DB (Databases)']
[1317, 'Agents', 'Agents']
[1319, 'DB', 'IR (Information Retrieval)']
[1320, 'AI', 'Agents']
[1321, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1323, 'AI (Artificial Intelligence)', 'Agents']
[1324, 'AI', 'ML (Machine Learning)']
[1325, 'AI', 'DB (Databases)']
[1326, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1328, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1329, 'Agents', 'Agents']
[1331, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1332, 'Agents', 'HCI (Human-Computer Interaction)']
[1333, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1334, 'AI', 'Agents']
[1336, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1337, 'AI (Artificial Intelligence)', 'Agents']
[1338, 'DB (Databases)', 'DB (Databases)']
[1339, 'AI (Artificial Intelligence)', 'Agents']
[1340, 'Agents', 'Agents']
[1341, 'DB', 'DB (Databases)']
[1342, 'AI', 'AI (Artificial Intelligence)']
[1343, 'DB', 'DB (Databases)']
[1344, 'AI', 'Agents']
[1345, 'AI', 'ML (Machine Learning)']
[1346, 'AI', 'Agents']
[1347, 'AI', 'AI (Artificial Intelligence)']
[1348, 'Agents', 'Agents']
[1349, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1350, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1351, 'IR (Information Retrieval)', 'DB (Databases)']
[1352, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1353, 'AI', 'IR (Information Retrieval)']
[1354, 'AI', 'ML (Machine Learning)']
[1355, 'AI', 'DB (Databases)']
[1356, 'DB', 'DB (Databases)']
[1357, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1359, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1360, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1361, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1362, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1363, 'AI', 'IR (Information Retrieval)']
[1364, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1365, 'AI (Artificial Intelligence)', 'Agents']
[1367, 'AI', 'Agents']
[1368, 'AI', 'IR (Information Retrieval)']
[1369, 'Agents', 'Agents']
[1370, 'Agents', 'Agents']
[1371, 'AI', 'AI (Artificial Intelligence)']
[1372, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1375, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1376, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1378, 'AI', 'ML (Machine Learning)']
[1379, 'DB', 'DB (Databases)']
[1380, 'AI', 'Agents']
[1382, 'AI', 'HCI (Human-Computer Interaction)']
[1383, 'AI', 'HCI (Human-Computer Interaction)']
[1385, 'AI', 'ML (Machine Learning)']
[1386, 'ML (Machine Learning)', 'DB (Databases)']
[1387, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1388, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1390, 'Agents', 'Agents']
[1392, 'AI', 'IR (Information Retrieval)']
[1393, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1394, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1395, 'DB', 'DB (Databases)']
[1396, 'AI', 'DB (Databases)']
[1398, 'AI', 'IR (Information Retrieval)']
[1399, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1400, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1403, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1405, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1407, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1408, 'DB (Databases)', 'DB (Databases)']
[1409, 'Agents', 'Agents']
[1410, 'DB', 'DB (Databases)']
[1411, 'ML (Machine Learning)', 'Agents']
[1412, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1413, 'AI', 'HCI (Human-Computer Interaction)']
[1414, 'AI', 'Agents']
[1415, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1416, 'AI', 'AI (Artificial Intelligence)']
[1417, 'AI', 'AI (Artificial Intelligence)']
[1418, 'AI', 'Agents']
[1419, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1420, 'IR (Information Retrieval)', 'ML (Machine Learning)']
[1421, 'AI', 'Agents']
[1422, 'DB', 'DB (Databases)']
[1424, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1425, 'AI', 'Agents']
[1426, 'DB', 'ML (Machine Learning)']
[1429, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1430, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1431, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1433, 'HCI', 'HCI (Human-Computer Interaction)']
[1436, 'AI', 'IR (Information Retrieval)']
[1437, 'DB', 'DB (Databases)']
[1438, 'AI', 'ML (Machine Learning)']
[1439, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1440, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1441, 'DB (Databases)', 'DB (Databases)']
[1442, 'DB (Databases)', 'DB (Databases)']
[1443, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1444, 'AI', 'IR (Information Retrieval)']
[1445, 'AI', 'IR (Information Retrieval)']
[1446, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1447, 'AI', 'ML (Machine Learning)']
[1448, 'AI', 'ML (Machine Learning)']
[1449, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1450, 'Agents', 'DB (Databases)']
[1451, 'AI', 'ML (Machine Learning)']
[1452, 'IR', 'IR (Information Retrieval)']
[1453, 'DB', 'DB (Databases)']
[1456, 'AI', 'IR (Information Retrieval)']
[1458, 'AI', 'AI (Artificial Intelligence)']
[1459, 'AI', 'Agents']
[1460, 'AI', 'DB (Databases)']
[1461, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1463, 'DB (Databases)', 'DB (Databases)']
[1464, 'AI', 'HCI (Human-Computer Interaction)']
[1466, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1469, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1470, 'AI', 'IR (Information Retrieval)']
[1471, 'DB', 'IR (Information Retrieval)']
[1472, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1473, 'AI', 'ML (Machine Learning)']
[1474, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1475, 'Agents', 'Agents']
[1476, 'Agents', 'Agents']
[1478, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1479, 'AI', 'ML (Machine Learning)']
[1480, 'Agents', 'Agents']
[1481, 'DB', 'DB (Databases)']
[1482, 'DB (Databases)', 'DB (Databases)']
[1484, 'AI', 'AI (Artificial Intelligence)']
[1485, 'AI', 'IR (Information Retrieval)']
[1486, 'DB', 'DB (Databases)']
[1488, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1489, 'AI', 'ML (Machine Learning)']
[1490, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1491, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1492, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1493, 'AI', 'DB (Databases)']
[1494, 'AI', 'Agents']
[1495, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1496, 'AI', 'HCI (Human-Computer Interaction)']
[1497, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1498, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1499, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1500, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1501, 'AI', 'Agents']
[1502, 'Agents', 'Agents']
[1503, 'DB (Databases)', 'IR (Information Retrieval)']
[1505, 'DB', 'HCI (Human-Computer Interaction)']
[1506, 'AI', 'AI (Artificial Intelligence)']
[1507, 'Agents', 'HCI (Human-Computer Interaction)']
[1508, 'AI (Artificial Intelligence)', 'Agents']
[1509, 'AI', 'ML (Machine Learning)']
[1510, 'AI', 'IR (Information Retrieval)']
[1511, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1512, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1514, 'AI', 'HCI (Human-Computer Interaction)']
[1515, 'Agents', 'Agents']
[1517, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1518, 'AI', 'ML (Machine Learning)']
[1519, 'AI', 'DB (Databases)']
[1520, 'DB', 'DB (Databases)']
[1521, 'DB (Databases)', 'DB (Databases)']
[1522, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1523, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1524, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1525, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1526, 'AI', 'ML (Machine Learning)']
[1527, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1528, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1529, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1530, 'HCI', 'HCI (Human-Computer Interaction)']
[1531, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1532, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1533, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1534, 'DB (Databases)', 'Agents']
[1535, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1537, 'DB', 'DB (Databases)']
[1539, 'Agents', 'Agents']
[1541, 'ML (Machine Learning)', 'DB (Databases)']
[1542, 'DB (Databases)', 'DB (Databases)']
[1543, 'AI', 'IR (Information Retrieval)']
[1545, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1547, 'AI', 'IR (Information Retrieval)']
[1549, 'DB', 'DB (Databases)']
[1550, 'DB (Databases)', 'DB (Databases)']
[1552, 'AI', 'Agents']
[1553, 'AI', 'Agents']
[1554, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1555, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1556, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1557, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1559, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1561, 'AI', 'Agents']
[1563, 'AI', 'Agents']
[1564, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1566, 'AI', 'DB (Databases)']
[1567, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[1568, 'AI', 'AI (Artificial Intelligence)']
[1569, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1570, 'AI', 'ML (Machine Learning)']
[1571, 'AI', 'ML (Machine Learning)']
[1572, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1574, 'AI', 'Agents']
[1576, 'DB', 'DB (Databases)']
[1577, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1578, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1579, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1580, 'Agents', 'Agents']
[1581, 'AI', 'DB (Databases)']
[1582, 'DB', 'DB (Databases)']
[1583, 'AI', 'Agents']
[1584, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1585, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1586, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1587, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1588, 'HCI', 'HCI (Human-Computer Interaction)']
[1589, 'AI', 'ML (Machine Learning)']
[1591, 'AI', 'IR (Information Retrieval)']
[1592, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1593, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1594, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[1595, 'AI', 'IR (Information Retrieval)']
[1596, 'AI', 'AI (Artificial Intelligence)']
[1597, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1598, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1600, 'DB (Databases)', 'DB (Databases)']
[1601, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1603, 'AI', 'ML (Machine Learning)']
[1604, 'AI', 'Agents']
[1605, 'AI', 'Agents']
[1606, 'AI (Artificial Intelligence)', 'Agents']
[1608, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1609, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1610, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1611, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1612, 'DB (Databases)', 'DB (Databases)']
[1614, 'AI', 'Agents']
[1615, 'IR (Information Retrieval)', 'DB (Databases)']
[1616, 'AI', 'Agents']
[1619, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1620, 'Agents', 'Agents']
[1621, 'AI', 'IR (Information Retrieval)']
[1623, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1625, 'AI', 'DB (Databases)']
[1626, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1627, 'AI', 'IR (Information Retrieval)']
[1628, 'AI (Artificial Intelligence)', 'Agents']
[1629, 'HCI (Human-Computer Interaction)', 'AI (Artificial Intelligence)']
[1630, 'AI', 'AI (Artificial Intelligence)']
[1632, 'AI', 'AI (Artificial Intelligence)']
[1633, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1634, 'HCI', 'HCI (Human-Computer Interaction)']
[1636, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1637, 'Agents', 'AI (Artificial Intelligence)']
[1638, 'DB', 'DB (Databases)']
[1639, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1640, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1641, 'AI', 'IR (Information Retrieval)']
[1642, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1643, 'AI', 'DB (Databases)']
[1645, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1646, 'DB', 'DB (Databases)']
[1647, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1649, 'AI', 'HCI (Human-Computer Interaction)']
[1650, 'DB', 'DB (Databases)']
[1651, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1652, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1653, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1654, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1655, 'DB', 'DB (Databases)']
[1656, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1657, 'HCI', 'HCI (Human-Computer Interaction)']
[1658, 'AI', 'Agents']
[1659, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1661, 'DB', 'DB (Databases)']
[1662, 'AI', 'Agents']
[1665, 'Agents', 'Agents']
[1666, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[1667, 'DB', 'DB (Databases)']
[1668, 'AI', 'DB (Databases)']
[1670, 'DB', 'DB (Databases)']
[1671, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1672, 'DB (Databases)', 'DB (Databases)']
[1673, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1674, 'DB', 'DB (Databases)']
[1675, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1676, 'ML (Machine Learning)', 'Agents']
[1677, 'AI', 'IR (Information Retrieval)']
[1678, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1679, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1681, 'AI', 'Agents']
[1682, 'Agents', 'Agents']
[1683, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1684, 'AI', 'ML (Machine Learning)']
[1685, 'AI', 'Agents']
[1686, 'DB', 'DB (Databases)']
[1688, 'IR (Information Retrieval)', 'HCI (Human-Computer Interaction)']
[1691, 'DB (Databases)', 'DB (Databases)']
[1693, 'HCI (Human-Computer Interaction)', 'Agents']
[1696, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1697, 'AI', 'Agents']
[1698, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1699, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1700, 'DB', 'DB (Databases)']
[1703, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1704, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1706, 'ML (Machine Learning)', 'DB (Databases)']
[1707, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1708, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1709, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1710, 'Agents', 'Agents']
[1712, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1713, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1714, 'DB (Databases)', 'DB (Databases)']
[1715, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1716, 'AI', 'Agents']
[1717, 'AI', 'ML (Machine Learning)']
[1718, 'ML', 'IR (Information Retrieval)']
[1720, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1721, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1722, 'AI', 'Agents']
[1723, 'AI', 'Agents']
[1724, 'AI', 'Agents']
[1725, 'AI', 'Agents']
[1726, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1727, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1728, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1729, 'HCI', 'HCI (Human-Computer Interaction)']
[1730, 'AI', 'AI (Artificial Intelligence)']
[1731, 'AI', 'HCI (Human-Computer Interaction)']
[1732, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1733, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1734, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1735, 'DB', 'DB (Databases)']
[1736, 'AI', 'AI (Artificial Intelligence)']
[1737, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1739, 'Agents', 'HCI (Human-Computer Interaction)']
[1740, 'AI', 'HCI (Human-Computer Interaction)']
[1742, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1743, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1744, 'DB', 'DB (Databases)']
[1745, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1746, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1747, 'AI', 'HCI (Human-Computer Interaction)']
[1749, 'Agents', 'Agents']
[1750, 'IR (Information Retrieval)', 'DB (Databases)']
[1751, 'Agents', 'Agents']
[1752, 'AI', 'HCI (Human-Computer Interaction)']
[1753, 'AI', 'IR (Information Retrieval)']
[1754, 'HCI (Human-Computer Interaction)', 'IR (Information Retrieval)']
[1756, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1757, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1758, 'AI', 'ML (Machine Learning)']
[1759, 'Agents', 'Agents']
[1760, 'AI', 'DB (Databases)']
[1761, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1762, 'AI', 'ML (Machine Learning)']
[1763, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1764, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1766, 'AI', 'DB (Databases)']
[1767, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1769, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1770, 'HCI', 'HCI (Human-Computer Interaction)']
[1771, 'DB', 'DB (Databases)']
[1772, 'AI', 'HCI (Human-Computer Interaction)']
[1773, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1774, 'Agents', 'Agents']
[1775, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1776, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1777, 'AI', 'DB (Databases)']
[1778, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1779, 'DB', 'DB (Databases)']
[1780, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1781, 'AI', 'HCI (Human-Computer Interaction)']
[1782, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1785, 'Agents', 'Agents']
[1786, 'DB (Databases)', 'DB (Databases)']
[1787, 'DB', 'DB (Databases)']
[1788, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1789, 'AI', 'AI (Artificial Intelligence)']
[1790, 'DB', 'DB (Databases)']
[1791, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1792, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1793, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1794, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1796, 'ML (Machine Learning)', 'DB (Databases)']
[1798, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1799, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1800, 'AI', 'AI (Artificial Intelligence)']
[1801, 'AI', 'DB (Databases)']
[1802, 'HCI', 'HCI (Human-Computer Interaction)']
[1803, 'DB', 'DB (Databases)']
[1804, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1805, 'AI (Artificial Intelligence)', 'Agents']
[1806, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1807, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1808, 'AI', 'DB (Databases)']
[1810, 'AI', 'HCI (Human-Computer Interaction)']
[1811, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1812, 'AI', 'Agents']
[1813, 'AI', 'AI (Artificial Intelligence)']
[1814, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1815, 'DB (Databases)', 'IR (Information Retrieval)']
[1816, 'ML', 'ML (Machine Learning)']
[1817, 'HCI (Human-Computer Interaction)', 'Agents']
[1818, 'Agents', 'DB (Databases)']
[1819, 'DB', 'DB (Databases)']
[1820, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1821, 'AI', 'DB (Databases)']
[1822, 'AI (Artificial Intelligence)', 'DB (Databases)']
[1823, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1825, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1826, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1827, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1828, 'DB (Databases)', 'DB (Databases)']
[1829, 'AI', 'Agents']
[1830, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1831, 'AI', 'ML (Machine Learning)']
[1832, 'HCI (Human-Computer Interaction)', 'AI (Artificial Intelligence)']
[1833, 'AI', 'DB (Databases)']
[1834, 'Agents', 'HCI (Human-Computer Interaction)']
[1835, 'AI', 'AI (Artificial Intelligence)']
[1836, 'ML', 'ML (Machine Learning)']
[1837, 'DB', 'DB (Databases)']
[1838, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1839, 'AI', 'Agents']
[1840, 'AI', 'Agents']
[1841, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1842, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1843, 'AI', 'DB (Databases)']
[1846, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1848, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1849, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1850, 'DB', 'DB (Databases)']
[1851, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1852, 'AI', 'DB (Databases)']
[1853, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1854, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1855, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1856, 'AI', 'Agents']
[1857, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1858, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1859, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1860, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1861, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1862, 'AI', 'Agents']
[1863, 'AI', 'ML (Machine Learning)']
[1864, 'AI', 'Agents']
[1865, 'AI', 'Agents']
[1866, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1867, 'Agents', 'Agents']
[1869, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1872, 'AI (Artificial Intelligence)', 'HCI (Human-Computer Interaction)']
[1873, 'AI', 'ML (Machine Learning)']
[1874, 'ML (Machine Learning)', 'IR (Information Retrieval)']
[1875, 'AI', 'Agents']
[1876, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1877, 'DB', 'DB (Databases)']
[1878, 'AI', 'Agents']
[1880, 'AI', 'ML (Machine Learning)']
[1881, 'AI', 'AI (Artificial Intelligence)']
[1882, 'AI', 'HCI (Human-Computer Interaction)']
[1883, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1884, 'DB', 'DB (Databases)']
[1885, 'AI', 'Agents']
[1886, 'AI (Artificial Intelligence)', 'ML (Machine Learning)']
[1888, 'IR (Information Retrieval)', 'IR (Information Retrieval)']
[1889, 'AI (Artificial Intelligence)', 'AI (Artificial Intelligence)']
[1890, 'AI', 'ML (Machine Learning)']
[1891, 'AI (Artificial Intelligence)', 'IR (Information Retrieval)']
[1892, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1894, 'DB', 'DB (Databases)']
[1896, 'ML (Machine Learning)', 'ML (Machine Learning)']
[1897, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1899, 'AI', 'Agents']
[1900, 'HCI (Human-Computer Interaction)', 'HCI (Human-Computer Interaction)']
[1902, 'Agents', 'Agents']
[1903, 'ML (Machine Learning)', 'IR (Information Retrieval)']
